,Beta,Gamma,t,min(S),max(I)
0,0.01,0.01,945.798895805744,54,9939
1,0.01,0.05,297.9555170479272,699,5575
2,0.01,0.1,175.48587381366934,2757,2628
3,0.01,0.15,23.249266948837214,12930,5
4,0.01,0.2,7.053910732682798,12904,2
5,0.01,0.25,34.054922616977336,12949,13
6,0.01,0.3,0.04412887445211009,12824,1
7,0.01,0.35,6.452626979000571,12897,3
8,0.01,0.4,4.080270614743036,12843,3
9,0.01,0.45,0.32924181626675386,12851,1
10,0.01,0.5,0.47085282553625,12845,1
11,0.01,0.55,4.34703562047575,12851,2
12,0.01,0.6,6.866616867391267,12860,6
13,0.01,0.65,0.9619110342323188,13089,2
14,0.01,0.7,2.0712565662331657,12919,1
15,0.01,0.75,2.576069640048652,12982,5
16,0.01,0.8,4.009817159723639,12815,4
17,0.01,0.85,0.10274848434602388,12946,1
18,0.01,0.9,1.5953708082532534,12873,3
19,0.01,0.95,0.14419299350550002,12818,1
20,0.01,1.0,1.5155678991455244,12911,2
21,0.05,0.01,1159.2277654454035,2,11898
22,0.05,0.05,247.2665475492188,23,10040
23,0.05,0.1,108.64027669913692,112,8435
24,0.05,0.15,72.94190792082085,275,6956
25,0.05,0.2,58.30657182191319,577,5834
26,0.05,0.25,2.4548507839913465,12976,3
27,0.05,0.3,51.42238020480378,1102,4325
28,0.05,0.35,0.3654157571668031,12798,1
29,0.05,0.4,0.3608540557292173,12891,1
30,0.05,0.45,1.434648663443135,12855,2
31,0.05,0.5,1.0238403718472924,12833,1
32,0.05,0.55,1.3351267610861592,12853,2
33,0.05,0.6,45.337035714035075,4765,1392
34,0.05,0.65,1.2127031792442058,12958,3
35,0.05,0.7,38.47067731315411,5748,1064
36,0.05,0.75,44.61797995172049,7433,554
37,0.05,0.8,0.6705369725363269,12826,1
38,0.05,0.85,43.68887440568565,7870,477
39,0.05,0.9,1.4178109319558594,12810,2
40,0.05,0.95,3.5147665436666395,12822,6
41,0.05,1.0,5.37599748692154,13052,6
42,0.1,0.01,873.0444461847447,0,12444
43,0.1,0.05,200.78367509696827,2,11152
44,0.1,0.1,116.8125234413554,14,10024
45,0.1,0.15,61.113012170594025,37,9304
46,0.1,0.2,64.94294103788138,103,8231
47,0.1,0.25,51.80247596438941,90,7819
48,0.1,0.3,41.935704082195286,376,6640
49,0.1,0.35,37.790646530791456,347,6404
50,0.1,0.4,34.47411286160887,349,6099
51,0.1,0.45,28.67813563212418,701,5287
52,0.1,0.5,22.72180584634472,878,4843
53,0.1,0.55,23.913483566993953,840,4702
54,0.1,0.6,2.13881048618239,12981,2
55,0.1,0.65,1.7035322164567737,12813,2
56,0.1,0.7,26.302413961613702,1413,3651
57,0.1,0.75,18.643153858625997,1573,3606
58,0.1,0.8,0.15302698141857726,12818,1
59,0.1,0.85,27.28753485132067,2988,2299
60,0.1,0.9,0.0004929813137885127,12861,1
61,0.1,0.95,0.9287755256135484,12987,3
62,0.1,1.0,0.5163281745047172,12917,1
63,0.15,0.01,936.357866133795,0,12504
64,0.15,0.05,176.20694538156312,0,11454
